prediction_id,timestamp,match_date,league,home_team,away_team,recommended_market,recommendation,confidence,signal_clarity,ml_prediction,ml_confidence,upset_risk,risk_level,debate_triggered,verdict_type,market_value,actual_result,correct,result_timestamp,notes
赫塔费/赫塔菲_巴塞罗那_2026-04-25,2026-04-28T13:11:05.329321,2026-04-25T14:15:00Z,西班牙甲级联赛,赫塔费/赫塔菲,巴塞罗那,让球盘,Getafe +0.75,37.7,,,0,0,,,,0,pending,,,
费耶诺德_格罗宁根_2026-04-25,2026-04-28T13:11:05.326966,2026-04-25T14:30:00Z,荷兰甲级联赛,费耶诺德,格罗宁根,大小球,大球 3.0球,43.1,,,0,0,,,,0,pending,,,
博洛尼亚_罗马_2026-04-25,2026-04-28T13:11:05.324477,2026-04-25T16:00:00Z,意大利甲级联赛,博洛尼亚,罗马,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
曼彻斯特城/曼城_南安普顿_2026-04-25,2026-04-28T13:11:05.332577,2026-04-25T16:15:00Z,英格兰足总杯,曼彻斯特城/曼城,南安普顿,让球盘,Southampton +2.00,50.4,,,0,0,,,,0,pending,,,
阿森纳_纽卡斯尔/纽卡斯尔联_2026-04-25,2026-04-28T13:11:05.321322,2026-04-25T16:30:00Z,英格兰超级联赛,阿森纳,纽卡斯尔/纽卡斯尔联,让球盘,Newcastle United +1.25,46.4,,,0,0,,,,0,pending,,,
汉堡_霍芬海姆_2026-04-25,2026-04-28T13:11:05.329994,2026-04-25T16:30:00Z,德国甲级联赛,汉堡,霍芬海姆,让球盘,Hamburger SV +0.75,38.6,,,0,0,,,,0,pending,,,
瓦伦西亚/巴伦西亚_赫罗纳_2026-04-25,2026-04-28T13:11:05.342153,2026-04-25T16:30:00Z,西班牙甲级联赛,瓦伦西亚/巴伦西亚,赫罗纳,让球盘,谨慎或放弃,35.4,,,0,0,,,,0,pending,,,
昂热_巴黎圣日耳曼_2026-04-25,2026-04-28T13:11:05.321181,2026-04-25T17:00:00Z,法国甲级联赛,昂热,巴黎圣日耳曼,大小球,小球 3.25球,30,,,0,0,,,,0,pending,,,
本菲卡_摩里伦斯/库里伦斯_2026-04-25,2026-04-28T13:11:05.324227,2026-04-25T17:00:00Z,葡萄牙超级联赛,本菲卡,摩里伦斯/库里伦斯,让球盘,Moreirense FC +2.25,53.8,,,0,0,,,,0,pending,,,
维罗纳_莱切_2026-04-25,2026-04-28T13:11:05.330265,2026-04-25T18:45:00Z,意大利甲级联赛,维罗纳,莱切,大小球,小球 2.0球,45.5,,,0,0,,,,0,pending,,,
马德里竞技_毕尔巴鄂竞技_2026-04-25,2026-04-28T13:11:05.322842,2026-04-25T19:00:00Z,西班牙甲级联赛,马德里竞技,毕尔巴鄂竞技,让球盘,Athletic Bilbao +0.50,48.7,,,0,0,,,,0,pending,,,
纳什威尔SC_夏洛特FC_2026-04-26,2026-04-28T13:11:05.333288,2026-04-26T00:30:00Z,美国职业足球大联盟,纳什威尔SC,夏洛特FC,让球盘,谨慎或放弃,40.8,,,0,0,,,,0,pending,,,
全北现代_浦项制铁_2026-04-26,2026-04-28T13:11:05.331063,2026-04-26T05:00:00Z,韩国K联赛,全北现代,浦项制铁,让球盘,Pohang Steelers +0.50,55.4,模糊,,0,0,,,,0,pending,,,
墨尔本城_阿德莱德联_2026-04-26,2026-04-28T13:11:05.332719,2026-04-26T07:30:00Z,澳大利亚A联赛,墨尔本城,阿德莱德联,让球盘,谨慎或放弃,27.0,无信号,,0,0,,,,0,pending,,,
SBV精英_乌得勒支_2026-04-26,2026-04-28T13:11:05.326639,2026-04-26T10:15:00Z,荷兰甲级联赛,SBV精英,乌得勒支,让球盘,谨慎或放弃,35.0,无信号,,0,0,,,,0,pending,,,
卡利亚里_亚特兰大_2026-04-27,2026-04-28T13:11:05.325277,2026-04-27T16:30:00Z,意大利甲级联赛,卡利亚里,亚特兰大,让球盘,Cagliari +0.75,41.7,模糊,,0,0,,,,0,pending,,,
索尔纳_马尔默_2026-04-27,2026-04-28T13:11:05.320483,2026-04-27T17:00:00Z,瑞典超级联赛,索尔纳,马尔默,让球盘,⚠️索尔纳 -0.25 (极低信心),35.0,无信号,,0,0,,,,0,pending,,,
赫根_天狼星_2026-04-27,2026-04-28T13:11:05.323750,2026-04-27T17:00:00Z,瑞典超级联赛,赫根,天狼星,让球盘,⚠️天狼星 -0.25 (极低信心),35.0,无信号,,0,0,,,,0,pending,,,
Mjällby AIF_Halmstads BK_2026-04-27,2026-04-28T13:11:05.332864,2026-04-27T17:00:00Z,瑞典超级联赛,Mjällby AIF,Halmstads BK,大小球,⚠️均衡 2.75球 (极低信心),34.5,无信号,,0,0,,,,0,pending,,,
Boulogne_敦刻尔克_2026-04-27,2026-04-28T13:11:05.324774,2026-04-27T18:45:00Z,法国乙级联赛,Boulogne,敦刻尔克,大小球,大球 2.25球,42.8,模糊,,0,0,,,,0,pending,,,
拉齐奥_乌迪内斯_2026-04-27,2026-04-28T13:11:05.331403,2026-04-27T18:45:00Z,意大利甲级联赛,拉齐奥,乌迪内斯,让球盘,⚠️拉齐奥 -0.25 (极低信心),27.0,无信号,,0,0,,,,0,pending,,,
西班牙人_莱万特_2026-04-27,2026-04-28T13:11:05.325931,2026-04-27T19:00:00Z,西班牙甲级联赛,西班牙人,莱万特,大小球,⚠️大球 2.25球 (极低信心),27.9,无信号,,0,0,,,,0,pending,,,
曼联_布伦特福德_2026-04-27,2026-04-28T13:11:05.332606,2026-04-27T19:00:00Z,英格兰超级联赛,曼联,布伦特福德,让球盘,Brentford +0.50,53.9,模糊,,0,0,,,,0,pending,,,
Gil Vicente_卡萨比亚_2026-04-27,2026-04-28T13:11:05.329352,2026-04-27T19:15:00Z,葡萄牙超级联赛,Gil Vicente,卡萨比亚,让球盘,⚠️Gil Vicente -0.75 (极低信心),27.0,无信号,,0,0,,,,0,pending,,,
Neom_哈森姆_2026-04-28,2026-04-28T13:11:05.333315,2026-04-28T16:45:00Z,沙特阿拉伯职业联赛,Neom,哈森姆,大小球,均衡 3.0球,45.6,模糊,,0,0,,,,0,pending,,,
